address,agent,city,days,neighborhood,office,price,state,zip,datetime
318 E 37th Street,Lance Loken,Houston,12,independence heights,Keller Williams Platinum,200000,TX,77018,2019-07-09 00:28:06.031865
227 E 38th Street,Tyrone Mims,Houston,16,independence heights,Realty Associates,210000,TX,77018,2019-07-09 00:28:06.031865
310 E 35th Street,Richard Vegsund,Houston,22,independence heights,CRC Real Estate Services,120000,TX,77018,2019-07-09 00:28:06.031865
317 E 37th Street,Melyssa Wiseman,Houston,33,independence heights,Wiseman Properties,339000,TX,77018,2019-07-09 00:28:06.031865
7702 N Main St Street,Lydia Cruz,Houston,48,independence heights,Porchlight Realtors,339500,TX,77022,2019-07-09 00:28:06.031865
324 E 39th Street,Martin Melchor,Houston,50,independence heights,Keller Williams Houston Preferred,339000,TX,77018,2019-07-09 00:28:06.031865
414 E 35th Street,Wayne Comer,Houston,55,independence heights,360 Realty & Management,190000,TX,77018,2019-07-09 00:28:06.031865
326 E 39th Street,Martin Melchor,Houston,69,independence heights,Keller Williams Houston Preferred,319000,TX,77018,2019-07-09 00:28:06.031865
7904 N Main Street,Martin Melchor,Houston,64,independence heights,Keller Williams Houston Preferred,275000,TX,77022,2019-07-09 00:28:06.031865
632 E 38th Street,Beatrice Bartlett,Houston,81,independence heights,The Bartlett Real Estate Group,149999,TX,77022,2019-07-09 00:28:06.031865
538 E 38th,George Balla,Houston,86,independence heights,Contemporary Real Estate LLC,239900,TX,77022,2019-07-09 00:28:06.031865
536 E 38th,George Balla,Houston,86,independence heights,Contemporary Real Estate LLC,239900,TX,77022,2019-07-09 00:28:06.031865
8607 Friendship Road,Melissa Huffman,Houston,6,langwood,Melissa Huffman,265100,TX,77080,2019-07-09 00:28:06.031865
3106 Maysel Street,Michael McSorley,Houston,9,langwood,Keller Williams Memorial,164962,TX,77080,2019-07-09 00:28:06.031865
8546 Norton Drive,Maihuong Nguyen,Houston,6,langwood,Precious Realty & Mortgage,190000,TX,77080,2019-07-09 00:28:06.031865
6710 Clemson Street,Sharyn Short,Houston,4,langwood,Greenwood King Properties - Voss Office,150000,TX,77092,2019-07-09 00:28:06.031865
8418 Churchville Drive,Armina Bradley,Houston,38,langwood,Realty Right,149900,TX,77080,2019-07-09 00:28:06.031865
8618 McDade Street,Christi Baylor,Houston,13,langwood,UP Realty,173250,TX,77080,2019-07-09 00:28:06.031865
6527 Underhill Street,Nicholas Castaneda,Houston,20,langwood,"American Property Realty, LLC",169000,TX,77092,2019-07-09 00:28:06.031865
8410 Sonneville Drive,Roger Pallas-Nieto,Houston,67,langwood,REALM Real Estate Professionals - Galleria,155000,TX,77080,2019-07-09 00:28:06.031865
8466 Sonneville Drive,Lydia Flores,Houston,88,langwood,"Lydia's Fine Homes, LLC",169000,TX,77080,2019-07-09 00:28:06.031865
6730 Thornwall Street,Gilbert Hernandez,Houston,10,langwood,Keller Williams Platinum,130000,TX,77092,2019-07-09 00:28:06.031865
8402 Churchville Drive,Daniel Enriquez,Houston,86,langwood,Texas United Realty,224900,TX,77080,2019-07-09 00:28:06.031865
3318 Springrock Lane,Ulises Bernardotti,Houston,15,kempwood,Lone Star Realty,249000,TX,77080,2019-07-09 00:28:06.031865
3351 Spring Valley Road,Scott O'Connell,Houston,35,kempwood,O'Connell Yarborough Prop,240000,TX,77080,2019-07-09 00:28:06.031865
9706 Crestdale Circle,Jinren Jim Lee,Houston,110,kempwood,Jim's Real Estate & Loan Svcs,229000,TX,77080,2019-07-09 00:28:06.031865
3207 Springrock Lane,Joanne Naponic,Houston,244,kempwood,Naponic Properties,299000,TX,77080,2019-07-09 00:28:06.031865
13433 Bandera Street,Claudia Oakley,Houston,2,home owned estates,Keller Williams Realty Professionals,159900,TX,77015,2019-07-09 00:28:06.031865
13306 Joliet Street,Blake Torrence,Houston,5,home owned estates,"Coldwell Banker United,",94900,TX,77015,2019-07-09 00:28:06.031865
13371 Indianapolis Street,Mirna Hernandez,Houston,5,home owned estates,Prime Realty Group,129000,TX,77015,2019-07-09 00:28:06.031865
806 Westmont Drive,Yuqiu Tang,Houston,6,home owned estates,"Forever Realty, LLC",208000,TX,77015,2019-07-09 00:28:06.031865
13338 Force Street,Brenda Hernandez,Houston,8,home owned estates,Keller Williams Memorial,164900,TX,77015,2019-07-09 00:28:06.031865
1007 Westmont Drive,Ellen Holt,Houston,17,home owned estates,RE/MAX Associates Northeast,119900,TX,77015,2019-07-09 00:28:06.031865
13359 Indianapolis Street,Juvy Sudario,Houston,4,home owned estates,Prime Realty Group,89750,TX,77015,2019-07-09 00:28:06.031865
13355 Joliet Street,Hernan Garcia,Houston,17,home owned estates,Turn Key Realty,149900,TX,77015,2019-07-09 00:28:06.031865
13318 Peoria Street,Omar Scanu,Houston,62,home owned estates,RE/MAX 1st Source,45500,TX,77015,2019-07-09 00:28:06.031865
0 Mobile Street,Jeff Denning,Houston,184,home owned estates,"Turner Mangum,LLC",160000,TX,77015,2019-07-09 00:28:06.031865
1050 Glenalbyn Street,Omar Scanu,Houston,248,home owned estates,RE/MAX 1st Source,24500,TX,77015,2019-07-09 00:28:06.031865
1126 Westmont Drive,Lou Rosas,Houston,367,home owned estates,RE/MAX Real Estate Assoc.,265000,TX,77015,2019-07-09 00:28:06.031865
2507 15th Street,Erik Czirr,Galena Park,1,galenapark,NextHome First Source,144500,TX,77547,2019-07-09 00:28:06.031865
1107 Clinton Drive,Ellen Holt,Galena Park,17,galenapark,RE/MAX Associates Northeast,275000,TX,77547,2019-07-09 00:28:06.031865
2516 6th Street,Denes Jafari,Galena Park,17,galenapark,Better Homes and Gardens Real Estate Gary Greene - Champions,145000,TX,77547,2019-07-09 00:28:06.031865
2503 9th Street,Emelita Rhoades,Galena Park,26,galenapark,Realty World Elite Group,189999,TX,77547,2019-07-09 00:28:06.031865
2515 5th Street,Roosevelt Mucker,Galena Park,31,galenapark,"Generation Realty, LLC",99500,TX,77547,2019-07-09 00:28:06.031865
2516 15th Street,Gloria Gutierrez,Galena Park,15,galenapark,The Horizon Team,169999,TX,77547,2019-07-09 00:28:06.031865
1501 Bank Drive,Gloria Gutierrez,Galena Park,37,galenapark,The Horizon Team,129999,TX,77547,2019-07-09 00:28:06.031865
1905 11th Street,Thelma Ibarra,Galena Park,110,galenapark,Houston Realty,120900,TX,77547,2019-07-09 00:28:06.031865
2513 11th Street,Ana Gonzalez,Galena Park,87,galenapark,Circa Real Estate LLC,142500,TX,77547,2019-07-09 00:28:06.031865
1712 10th,Belinda Malone,Galena Park,110,galenapark,Keller Williams Memorial,108000,TX,77547,2019-07-09 00:28:06.031865
1607 Clinton Drive,Jose Ramon,Galena Park,147,galenapark,Can-2 Realty,379000,TX,77547,2019-07-09 00:28:06.031865
8811 Imogene Street,Nguyen Wilson,Houston,5,braeburn glen,"Wilson Realty & Inv Grp, LLC",135000,TX,77074,2019-07-09 00:28:06.031865
8711 Reamer Street,Wayne Comer,Houston,18,braeburn glen,360 Realty & Management,215000,TX,77074,2019-07-09 00:28:06.031865
